City,Date,Year,Month Name,Day,Season,PM2.5,NO,NO2,NOx,CO,SO2,O3,Benzene,AQI,AQI_Bucket
Ahmedabad,29/01/2015,2015,January,29,Winter,83.13,6.93,28.71,33.72,,,59.76,0.02,209,Poor
Ahmedabad,30/01/2015,2015,January,30,Winter,79.84,13.85,28.68,41.08,,,,0.04,328,Very Poor
Ahmedabad,31/01/2015,2015,January,31,Winter,94.52,24.39,32.66,52.61,,,,0.24,450,Severe
Ahmedabad,01/02/2015,2015,February,1,Winter,135.99,,42.08,,,,,0.4,450,Severe
Ahmedabad,02/02/2015,2015,February,2,Winter,,,35.31,72.8,,,,0.46,450,Severe
Ahmedabad,03/02/2015,2015,February,3,Winter,139.7,30.61,28.4,56.73,,,73.6,0.17,450,Severe
Ahmedabad,04/02/2015,2015,February,4,Winter,80.65,2.37,22.83,24,2.37,25.73,47.3,0,294,Poor
Ahmedabad,05/02/2015,2015,February,5,Winter,58.36,2.6,21.39,23.31,2.6,,53.54,0,149,Moderate
Ahmedabad,06/02/2015,2015,February,6,Winter,79.29,1.16,26.94,26.83,1.16,,59.3,0,190,Moderate
Ahmedabad,07/02/2015,2015,February,7,Winter,88.7,7.29,31.32,37.73,,,44.76,0,247,Poor
Ahmedabad,08/02/2015,2015,February,8,Winter,74.28,8.92,27.3,33.42,,,47.42,0,379,Very Poor
Ahmedabad,09/02/2015,2015,February,9,Winter,113.93,4.32,24.27,26.86,,,39.94,0.02,341,Very Poor
Ahmedabad,10/02/2015,2015,February,10,Winter,105.39,1.41,18.21,18.75,1.41,,56.15,0,256,Poor
Ahmedabad,11/02/2015,2015,February,11,Winter,66.52,6.34,23.8,28.24,,,53.14,,388,Very Poor
Ahmedabad,12/02/2015,2015,February,12,Winter,65.04,14.19,30.1,44.21,,,31.88,,288,Poor
Ahmedabad,13/02/2015,2015,February,13,Winter,103.36,18.18,39.56,57.33,,,40.11,,450,Severe
Ahmedabad,14/02/2015,2015,February,14,Winter,,37.49,47.58,77.85,,,36.47,,450,Severe
Ahmedabad,15/02/2015,2015,February,15,Winter,113.25,15.55,30.5,44.87,,,33.78,,450,Severe
Ahmedabad,16/02/2015,2015,February,16,Winter,99.7,19.85,28.1,47.31,,,30.57,,450,Severe
Ahmedabad,17/02/2015,2015,February,17,Winter,80.61,15.96,21.04,35.67,,,36.2,,450,Severe
Ahmedabad,18/02/2015,2015,February,18,Winter,100.79,16.24,25.93,41.91,,,37.43,,450,Severe
Ahmedabad,19/02/2015,2015,February,19,Winter,107.99,11.25,30.09,40.47,,,31.94,,450,Severe
Ahmedabad,20/02/2015,2015,February,20,Winter,140.29,33.84,36.14,68.85,,,40.98,,450,Severe
Ahmedabad,21/02/2015,2015,February,21,Winter,,,46.25,,,,33.55,,450,Severe
Ahmedabad,22/02/2015,2015,February,22,Winter,142.96,,48.21,,,,34.77,7.35,450,Severe
Ahmedabad,23/02/2015,2015,February,23,Winter,,,55.07,,,,37.3,,450,Severe
Ahmedabad,24/02/2015,2015,February,24,Winter,118.72,12.56,32.01,42.56,,,38.8,,450,Severe
Ahmedabad,25/02/2015,2015,February,25,Winter,52.99,2.23,10.45,10.39,2.23,,67.25,3.85,292,Poor
Ahmedabad,02/03/2015,2015,March,2,Summer,60.78,9.07,18.21,27.34,,29.48,34.75,2.05,189,Moderate
Ahmedabad,03/03/2015,2015,March,3,Summer,91.83,12.99,28.71,40.76,,,38.46,2.69,450,Severe
Ahmedabad,04/03/2015,2015,March,4,Summer,93.88,18.21,29.38,47.01,,,46.79,5.21,383,Very Poor
